,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
277,CCL18_Macrophages,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.28217
278,SPP1_Macrophages,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.282159
279,prolif,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.281657
280,CD4,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.280616
281,Adipo,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.280005
282,Pericyte_2,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.279014
283,NK_T,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.279014
284,Pericyte_1,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.276674
285,NK,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.275836
286,Lymphatic_Endo,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.275724
287,LYVE_PLTP_Macrophages,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.275624
288,Myofib,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.273682
289,Venous_Endo,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.272724
290,Capillary_Endo,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.2725525
291,Fib_0,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.272069
292,SPP1_Macrophages,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.271218
293,Mast,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.271201
294,Mast,healthy_CM,Ligand,Receptor,CALM1,CACNA1C,11.271201
295,Monocytes,healthy_CM,Ligand,Receptor,CALM2,CACNA1C,11.271077
296,vCM_3,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,10.231752
297,NK_T,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.887562
298,Pericyte_2,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.825062
299,Pericyte_2,damaged_CM,Ligand,Receptor,RIMS1,CACNA1C,9.825062
300,vCM_4,damaged_CM,Ligand,Receptor,CALM2,CACNA1C,9.6867285
301,NK,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.670401
302,damaged_CM,damaged_CM,Ligand,Receptor,CALM2,CACNA1C,9.663287
303,Fib_0,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.654506
304,perivascular_fibroblasts,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.641728
305,vSMCs_1,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.639623
306,intermediate_CM,damaged_CM,Ligand,Receptor,CALM2,CACNA1C,9.637897
307,healthy_CM,damaged_CM,Ligand,Receptor,CALM2,CACNA1C,9.632165
308,Fib_SCARA5,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.621664
309,healthy_CM,damaged_CM,Ligand,Receptor,CALM1,CACNA1C,9.615894
310,vCM_4,damaged_CM,Ligand,Receptor,CALM1,CACNA1C,9.613395
311,intermediate_CM,damaged_CM,Ligand,Receptor,CALM1,CACNA1C,9.613164
312,vSMCs_2,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.608792
313,LYVE_FOLR_Macrophages,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.601774
314,Lymphatic_Endo,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.59743
315,prolif,damaged_CM,Ligand,Receptor,NCAM1,CACNA1C,9.580138
